# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.800         0         0        191408
     4.600         0         0        191412
     4.600         0         0        191419
     4.700         0         0        191425
     5.500         0         0        191430
     4.700         0         0        191431
     4.700         0         0        191432
     4.700         0         0        191437
     4.500         0         0        191438
     4.600         0         0        191439
     4.600         0         0        191441
     4.900         0         0        191446
     4.600         0         0        191450
     4.600         0         0        191451
     4.500         0         0        191452
     5.200         0         0        191456
     4.500         0         0        191457
     5.100         0         0        191458
     4.600         0         0        191461
     4.500         0         0        191463
     4.500         0         0        191465
     4.600         0         0        191466
     4.500         0         0        191467
     4.800         0         0        191469
     4.700         0         0        191472
     4.600         0         0        191475
     4.600         0         0        191476
     4.900         0         0        191477
     4.700         0         0        191480
     4.500         0         0        191482
     4.700         0         0        191485
     4.500         0         0        191487
     6.000         0         0        191488
     4.800         0         0        191493
     4.500         0         0        191494
     4.500         0         0        191495
     4.500         0         0        191503
     4.700         0         0        191504
     5.100         0         0        191506
     4.600         0         0        191507
     4.600         0         0        191508
     4.500         0         0        191509
     4.500         0         0        191510
     4.800         0         0        191511
     4.900         0         0        191514
     4.800         0         0        191520
     5.000         0         0        191528
     5.900         0         0        191529
     5.100         0         0        191530
     4.600         0         0        191533
     4.600         0         0        191535
     5.300         0         0        191537
     4.500         0         0        191539
     4.700         0         0        191541
     5.500         0         0        191543
     4.500         0         0        191544
     4.800         0         0        191547
     4.500         0         0        191555
     5.200         0         0        191556
     4.700         0         0        191560
     4.700         0         0        191561
     4.600         0         0        191562
     4.600         0         0        191569
     4.600         0         0        191572
     4.800         0         0        191573
     4.700         0         0        191574
     4.600         0         0        191575
     4.800         0         0        191576
     4.600         0         0        191577
     4.600         0         0        191579
     4.600         0         0        191585
     4.900         0         0        191588
     4.600         0         0        191594
     4.700         0         0        191596
     4.500         0         0        191597
     4.900         0         0        191599
     4.800         0         0        191600
     5.100         0         0        191601
     4.700         0         0        191609
     4.500         0         0        191613
     4.600         0         0        191615
     4.500         0         0        191616
     4.500         0         0        191617
     4.700         0         0        191618
     4.600         0         0        191619
     4.700         0         0        191621
     5.100         0         0        191627
     4.900         0         0        191629
     4.900         0         0        191630
     4.600         0         0        191632
     4.500         0         0        191635
     4.600         0         0        191639
     4.600         0         0        191640
     4.700         0         0        191641
     4.700         0         0        191642
     4.500         0         0        191644
     4.800         0         0        191648
     4.700         0         0        191651
     4.500         0         0        191659
     4.600         0         0        191662
     4.700         0         0        191669
     4.600         0         0        191670
     4.500         0         0        191672
     4.500         0         0        191675
     4.700         0         0        191676
     4.700         0         0        191678
     4.600         0         0        191680
     4.500         0         0        191684
     4.500         0         0        191685
     4.700         0         0        191687
     4.900         0         0        191690
     4.500         0         0        191691
     4.900         0         0        191694
     5.300         0         0        191696
     4.600         0         0        191700
     4.800         0         0        191701
     4.600         0         0        191703
     4.900         0         0        191704
     4.600         0         0        191706
     4.700         0         0        191710
     4.500         0         0        191714
     4.900         0         0        191716
     4.600         0         0        191721
     4.500         0         0        191724
     4.600         0         0        191725
     4.800         0         0        191726
     4.600         0         0        191727
